Numero catalogo,Nome,Tipo di oggetto,Costellazione,Coordinate (2000),Distanza,Magnitudine visuale,Dimensioni apparenti,Dimensioni reali,Descrizione
M29,NGC 6913,Ammasso aperto,Cigno,"A.R. 20h 23,9min; Dec. +38° 32'",4000-7200 a.l.,"6,6",7',8 a.l.,"M 29 (noto anche come NGC 6913) è un piccolo ma ben noto ammasso aperto visibile nella costellazione del Cigno; nonostante le sue piccole dimensioni, è alla portata anche di piccoli strumenti. La distanza di questo ammasso è incerta, dato che viene calcolata tra i 4000 anni luce (secondo Kenneth Glyn Jones e lo Sky Catalogue 2000) e i 7200 anni luce (secondo la maggior parte delle fonti compreso Mallas/Kreimer e Burnham). L'incertezza è determinata dall'enorme quantità di materia interstellare frapposta (forse mille volte più della media) facente parte della Fenditura del Cigno, che rende difficile il calcolo; tuttavia viene dato per certo che si trovi nella stessa regione galattica del Complesso nebuloso molecolare del Cigno, solo ad una diversa latitudine galattica. M29 comprende una cinquantina di stelle, ma si presenta in parte occultato dalla polvere interstellare; la sua posizione in una regione molto affollata di cielo contribuisce inoltre a renderlo ancora meno appariscente. Le componenti di M29 possiedono magnitudini comprese fra la 8,4 e la 13,9. Le più luminose, le sette stelle giganti dominanti, possiedono una magnitudine compresa fra 8,4 e 10,8; fra queste e le restanti componenti vi è un salto dalla magnitudine 10,8 alla 11,6. La sua età viene stimata in 10 milioni di anni e i membri più brillanti del gruppo sono tutti di classe spettrale B."
M30,NGC 7099,Ammasso globulare,Capricorno,"A.R. 21h 40,4min; Dec. −23° 11'",26.000 a.l.,"7,5",11',76 a.l.,"M 30 (noto anche come Messier 30 o NGC 7099) è un ammasso globulare situato nella costellazione del Capricorno.Questo denso ammasso si trova a circa 26.000 anni luce dalla Terra ed ha un diametro di circa 76 anni luce; l'ammasso si sta avvicinando ad una velocità di 182 km/s. Il nucleo di quest'ammasso ha una popolazione stellare estremamente densa ed è in fase di collasso, come è successo anche in un'altra ventina di ammassi globulari della nostra Galassia, fra i quali M15, M62 ed M70. Al suo interno sono state osservate una dozzina di stelle variabili. La più brillante è una gigante rossa di magnitudine 12.1; la magnitudine media delle sue 25 stelle più luminose è invece pari a 14,63."
M31,Galassia di Andromeda NGC 224,Galassia a spirale (Sb),Andromeda,"A.R. 0h 42,7min; Dec. +41° 16'",2.550.000 a.l.,"3,47","180,0' x 60,0'",250.000 a.l.,"La Galassia di Andromeda (nota talvolta anche con il vecchio nome Grande Nebulosa di Andromeda o con le sigle di catalogo M 31 e NGC 224), è una galassia a spirale gigante facente parte del Gruppo Locale, assieme alla Via Lattea; si trova a circa 2,538 milioni di anni luce dalla Terra, in direzione della costellazione boreale di Andromeda, da cui prende il nome. Si tratta della galassia a spirale di grandi dimensioni più vicina alla nostra galassia; è visibile anche ad occhio nudo e si tratta dell'oggetto più lontano visibile da occhi umani senza l'ausilio di strumenti di osservazione. La Galassia di Andromeda è la più grande del Gruppo Locale, un gruppo di galassie formato dalla Via Lattea, Andromeda e dalla Galassia del Triangolo, più circa cinquanta altre galassie minori, molte delle quali satelliti delle principali. Sebbene sia la più estesa, sembra che non sia la più massiccia, poiché alcuni studi suggeriscono che la Via Lattea contenga più materia oscura e potrebbe così essere quella con la massa più grande del gruppo. Secondo gli studi pubblicati negli anni duemila, derivati dalle osservazioni del telescopio spaziale Spitzer, la Galassia di Andromeda conterrebbe circa un bilione di stelle (mille miliardi), un numero di gran lunga superiore rispetto a quello della nostra galassia; sulla massa e sul numero di stelle ci sono tuttavia opinioni discordanti: alcuni studi indicano un valore di massa per la Via Lattea pari all'80% di quello di Andromeda, mentre secondo altri studi le due galassie avrebbero delle dimensioni simili fra loro. Con una magnitudine apparente pari a 4,4, la Galassia di Andromeda è uno degli oggetti di Messier più luminosi. https://it.wikipedia.org/wiki/Galassia_di_Andromeda"
M32,NGC 221,Galassia ellittica nana (tipo E2),Andromeda,"A.R. 0h 42,7min; Dec. +40° 52'",2.300.000 a.l.,"8,1","8,0' x 6,0'",8.000 a.l.,"La galassia ellittica M32 (nota anche come Oggetto Messier 32, Messier 32, M32, o NGC 221) è una galassia ellittica nana nella costellazione di Andromeda.M32 è un membro del Gruppo Locale di galassie. Orbitando attorno alla Galassia di Andromeda, è situata — rispetto a un osservatore terrestre — davanti a uno dei bracci di quest'ultima. Le stelle esterne di M32 sono state visibilmente strappate dall'attrazione della sua vicina e quindi la galassia si riduce alle sole stelle vicine al nucleo. Mostra comunque tracce di formazione stellare nel passato relativamente recente. Questo nucleo possiede una massa di circa 108 masse solari, con una densità di 5 000 stelle/pc3 orbitanti attorno a un oggetto estremamente massivo: cifre comparabili al nucleo della Galassia di Andromeda. M32 ha una massa di circa 3 miliardi di masse solari, e un diametro di 8000 anni luce. Dista da noi 2.900.000 anni luce, e assieme a M110 è la galassia ellittica più vicina. Esiste anche la prova che M32 possegga un disco esterno."
M33,Galassia Triangolo NGC 598,Galassia a spirale (Tipo Sc),Triangolo,"A.R. 01h 33,9min; Dec. +30° 39'",2.900.000 a.l.,"5,7",73' x 45',50.000 a.l. - 60.000 a.l.,"La Galassia del Triangolo, conosciuta anche con il nome di M33 (oggetto numero 33 del catalogo di Charles Messier) e di NGC 598, è una galassia a spirale di tipo SA(s)cd distante circa 3 milioni di anni luce dalla Terra e situata nella costellazione del Triangolo. Nel mondo anglosassone M33 è anche informalmente chiamata Pinwheel Galaxy (in italiano letteralmente Galassia Girandola) in alcune pubblicazioni amatoriali di astronomia, ma anche in alcuni comunicati ufficiali di siti professionali. Tuttavia sia il database astronomico SIMBAD, che contiene i nomi e le designazioni formali di vari oggetti astronomici, che diversi altri siti per l'astronomia amatoriale indicano con il nome di ""Pinwheel Galaxy"" la galassia M101. La Galassia del Triangolo è una galassia piuttosto piccola rispetto alle sue vicine — la Via Lattea e la Galassia di Andromeda — ma in realtà ha dimensioni medie rispetto alle altre galassie spirali presenti nell'Universo. In particolare è il terzo membro del Gruppo Locale per grandezza, dopo la Galassia di Andromeda e la Via Lattea, e potrebbe essere un compagno della stessa Galassia di Andromeda a cui è gravitazionalmente legata. La Galassia Nana dei Pesci I (o LGS 3), una delle piccole galassie membro del Gruppo Locale, è un satellite di M33. Dal punto di vista della sua conformazione M33 è un esempio di spirale a fiocchi. "
M34,NGC 1039,Ammasso aperto,Perseo,"A.R. 02h 42,0min ; Dec. +42° 47'",1400 a.l.,"5,2",35',15 a.l.,"M 34 (noto anche come NGC 1039) è un ammasso aperto visibile nella costellazione di Perseo. M34 si trova ad una distanza di circa 1.400 anni-luce dalla Terra ed è costituito da circa 100 stelle; la componente più brillante è estranea all'ammasso (prospettica) ed ha magnitudine 7,3, mentre i membri più brillanti sono di magnitudine 7,9-8,0. La sua età è stimata in 190 milioni di anni. Il diametro apparente dell'ammasso è di 35 minuti d'arco da cui si ricava un raggio reale di 15 anni-luce."
M35,NGC 2168,Ammasso aperto,Gemelli,"A.R. 06h 08,9min ; Dec. +24° 20'",1800 a.l.,"5,8",28',24 a.l.,"M 35 (noto anche come Messier 35 o NGC 2168) è un brillante ammasso aperto visibile nella costellazione boreale dei Gemelli. Grazie alla sua vicinanza all'eclittica, è ben visibile da entrambi gli emisferi, sebbene gli osservatori dell'emisfero boreale siano privilegiati; spesso la Luna e i pianeti del sistema solare transitano di fronte a quest'ammasso, occultandolo o oscurandolo con la loro luce riflessa. M35 misura apparentemente una trentina di primi d'arco e contiene circa 200 componenti comprese fra le magnitudini 8,3 e 13; la magnitudine integrata complessiva dell'ammasso è invece pari a 5,8; la componente più brillante è una gigante azzurra di classe spettrale B3, di magnitudine 8,2. La distanza è stata stimata in circa 1800 anni luce, che equivalgono ad una dimensione reale di circa 24 anni luce di diametro; l'età è stata invece indicata sui 110 milioni di anni, il che spiega la presenza di alcune stelle di post-sequenza principale, in età avanzata ed evolute in giganti gialle e rosse, di classi spettrali G e K. La densità è elevata, pari a circa 6,21 stelle per parsec cubico nelle aree centrali e con una media di 0,7 stelle per parsec cubico. M35 si avvicina a noi ad una velocità di circa 5 km/s."
M36,NGC 1960,Ammasso aperto,Auriga,"A.R. 05h 36,1min ; Dec. +34° 08'",4100 a.l.,6,12',14 a.l.,"M 36 (conosciuto anche come Messier 36 o NGC 1960) è un ammasso aperto visibile nella costellazione dell'Auriga. La sua scoperta è stata, fino al 1984, attribuita a Le Gentil (1749); oggi invece si attribuisce la scoperta di M36 a Giovan Battista Odierna, avvenuta prima del 1654. Di facile osservazione, anche con un semplice binocolo, appare alto nel cielo nelle notti invernali dell'emisfero boreale. M36 si trova ad una distanza di circa 4100 anni luce dalla Terra, nel Braccio di Perseo, quello subito più esterno al nostro; con un diametro apparente di 12', corrisponde ad un diametro reale di circa 14 anni luce. M36 è anche uno degli ammassi più giovani, con un'età stimata di 20-25 milioni di anni: non contiene infatti alcuna gigante rossa, al contrario dei due ammassi vicini M37 ed M38. Le componenti più brillanti sono di ottava magnitudine, fra cui spicca una gigante blu di magnitudine 8,3, di classe spettrale B3;di fatto M36 costituisce il centro del sottogruppo più vicino dell'associazione stellare Auriga OB1. Il numero delle componenti reali dell'ammasso sarebbe circa 60 e secondo i risultati di un'analisi spettrografica avrebbero una rapida velocità di rotazione; come altri ammassi aperti, anche questo mostra evidenti segni di segregazione di massa. L'ammasso tende ad avvicinarsi a noi alla velocità di 5 km/s. M36 è molto simile all'ammasso delle Pleiadi (M45), e se questi fossero alla stessa distanza dalla Terra avrebbero una magnitudine simile. La sua luminosità totale è paragonabile a quella di circa 5.000 Soli."
M37,NGC 2099,Ammasso aperto,Auriga,"A.R. 05h 52,4min ; Dec. +32° 33'",4000 a.l.,"5,6",24',2,"M 37 (noto anche come Messier 37 o NGC 2099) è un ammasso aperto visibile nella costellazione dell'Auriga. Si tratta di uno degli ammassi più semplici da osservare nella costellazione a cui appartiene, nonché il più esteso. M37 è il più luminoso degli ammassi dell'Auriga, nonché particolarmente ricco di componenti, per essere un ammasso aperto; conta almeno 170 stelle fino alla tredicesima magnitudine, mentre fino alla quindicesima grandezza queste diventano oltre mezzo migliaio. La stella dominante è un astro di colore rosso, di magnitudine 9,2. La distanza è stimata sui circa 4000 anni luce, è situato nel Braccio di Perseo, quello subito più esterno al nostro, mentre la sua età è data sugli oltre 300 milioni di anni; si tratta pertanto di un ammasso in età piuttosto avanzata, che annovera fra le sue componenti una dozzina di stelle evolute, in particolare giganti rosse, più diverse stelle blu di classe spettrale B9V, quindi di sequenza principale. Il diametro apparente è di 24', che rapportato alla distanza nota corrisponde ad un diametro effettivo di circa 20-25 anni luce; in alcune aree centrali la densità è stimata sullo 43,6 stelle per parsec cubo, mentre la densità media è di circa 0,74 stelle al parsec cubo. Si tratta infatti di uno degli ammassi aperti più densi conosciuti."
M38,NGC 1912,Ammasso aperto,Auriga,"A.R. 05h 28,4min; Dec. +35° 50'",4200 a.l.,"6,4",21',25 a.l.,"M 38 (noto anche come Messier 38, o NGC 1912) è un ammasso aperto visibile nella costellazione Auriga. Fu scoperto da Giovanni Battista Odierna prima del 1654 e scoperto poi indipendentemente da Le Gentil nel 1749. Si trova quasi nel centro geometrico della costellazione ed è ben visibile anche con piccoli strumenti amatoriali, come dei binocoli. M38 dista circa 4.200 anni luce dalla Terra, si trova nel Braccio di Perseo, quello subito più esterno al nostro; rapportando un diametro apparente di circa 21' con la sua distanza, si ottiene un diametro reale di circa 25 anni luce. La sua età è stimata in 220 milioni di anni. La stella più brillante dell'ammasso è una ipergigante gialla di magnitudine 7,9 e tipo spettrale G0, circa 900 volte più luminosa del Sole; un'altra stella, una gigante azzurra (spettro B5), appare di magnitudine 9,7. Si può notare una concatenazione di stelle diretta in senso nord-sud, un po' più luminose rispetto alle altre stelle dell'ammasso. La densità dell'ammasso nelle regioni centrali sarebbe di circa 7,8 stelle per parsec cubico, mentre quella media dell'intero oggetto è di circa 1,11 stelle per parsec cubo."
M39,NGC 7092,Ammasso aperto,Cigno,"A.R. 21h 32,2min; Dec. +48° 26'",825 a.l.,"4,6",31',7 a.l.,"M 39 (noto anche come NGC 7092) è un brillante ammasso aperto visibile nella costellazione del Cigno; grazie alla sua luminosità è facilmente osservabile anche con piccoli strumenti. M39 si trova ad una distanza di circa 825 anni luce dalla Terra, con una età stimata fra i 230 e i 300 milioni di anni; il suo diametro è di circa 7 anni luce e contiene almeno 30 membri più luminosi dell'undicesima magnitudine. Le 12 stelle più brillanti sono tutte di tipo A e B, sparse per un campo di oltre 30', mentre le stelle superiori alla nona magnitudine sono una ventina. La stella più brillante dell'ammasso è nota con la sigla HD 205331; si tratta di una stella bianca di tipo spettrale A0, con una magnitudine apparente di 6,83, e costituisce il bordo sudorientale dell'ammasso. A queste componenti principali se ne aggiungerebbero diverse altre fino alla magnitudine 14,8, oltre la quale distinguere con certezza i membri dell'ammasso dalle stelle di campo diventa piuttosto problematico. Dal diagramma H-R di M39 si deduce che virtualmente tutti i membri si trovano sulla sequenza principale, ma che alcune delle stelle più brillanti appaiono trovarsi proprio sul punto di iniziare la loro evoluzione verso lo stadio di giganti. Fra le componenti meno luminose dell'ammasso sono state individuate una decina di stelle che mostrerebbero segni di variabilità, probabilmente con un periodo breve. La velocità radiale dell'ammasso è di circa 15 km/s in avvicinamento. "
M40,Winnecke 4,Asterismo,Orsa maggiore,"A.R. 12h 22,4min; Dec. +58° 05'",300 a.l.,"8,8","0,8'",Non reale,"M40 (nota anche come Winnecke 4 o WNC 4) è una stella doppia ottica nella costellazione dell'Orsa maggiore. Fu scoperta da Charles Messier nel 1764 mentre cercava una nebulosa che Hevelius riteneva trovarsi in quell'area. Non riuscendo a trovarla, Messier catalogò invece questa stella doppia descrivendola così ""Due stelle molto vicine l'una all'altra, e molto piccole, poste alla base della coda della Grande Orsa... È mentre cercava la nebulosa ...riportata nel libro ""La figure des Astres"", che doveva avere, nel 1660, ascensione retta 183° 32' 41"" e declinazione +60° 20' 33"", e che M. Messier non è riuscito ad osservare, che egli stesso ha osservato queste due stelle."""
M41,NGC 2287,Ammasso aperto,Cane maggiore,A.R. 06h 47min ; Dec. −20° 44' Distanza: 2350 a.l.,2350 a.l.,"4,5",38',20 a.l.,"M 41 (noto anche come Piccolo Alveare o NGC 2287) è un ammasso aperto visibile nella costellazione del Cane Maggiore; giace sul bordo occidentale della scia luminosa della Via Lattea ed è uno degli ammassi stellari più facili da osservare e da risolvere. Dall'emisfero nord è uno degli ammassi aperti più caratteristici del cielo invernale. M41 si trova a circa 2.300 anni luce dal nostro sistema solare, sul bordo estremo del nostro braccio di spirale galattico, il Braccio di Orione, e la sua velocità di allontanamento è stimata in 34 km/s. Il suo diametro apparente è di 38 minuti d'arco, che corrisponde a un'estensione reale di circa 25 anni luce. Le stime sulla sua età si aggirano fra i 190 e i 240 milioni di anni: trattandosi dunque di un ammasso relativamente giovane, possiede ancora diverse stelle bianco-azzurre, sebbene la più luminosa sia di tipo spettrale K3, ossia una gigante arancione, con una magnitudine pari a 6.9 e una luminosità pari ad almeno 700 volte quella del Sole; sono presenti anche altre stelle giallo-arancioni. Il numero delle sue componenti è pari a un centinaio, di magnitudini comprese tra 7 e oltre 13."
M42,Nebulosa di Orione NGC 1976,Nebulosa ad emissione e a riflessione associata ad ammasso aperto,Orione,"A.R. 05h 35,4min; Dec. −05° 27'",1300 a.l.,4,45' x 45',35 a.l.,"La Nebulosa di Orione (nota anche come Messier 42 o M 42, NGC 1976) è una delle nebulose diffuse più brillanti del cielo notturno. Chiaramente riconoscibile ad occhio nudo come un oggetto di natura non stellare, è posta a sud del famoso asterismo della Cintura di Orione, al centro della cosiddetta Spada di Orione, nell'omonima costellazione. Posta ad una distanza di circa 1 270 a.l. dalla Terra, si estende per circa 24 anni luce ed è la regione di formazione stellare più vicina al Sistema solare. Vecchie pubblicazioni si riferiscono a questa nebulosa col nome di Grande Nebulosa, mentre più anticamente i testi astrologici riportavano lo stesso nome della stella Eta Orionis, Ensis (la spada), che però si trova in un'altra parte della costellazione. Si tratta di uno degli oggetti più fotografati e studiati della volta celeste, ed è sotto costante controllo a causa dei fenomeni celesti che hanno luogo al suo interno; gli astronomi hanno scoperto nelle sue regioni più interne dischi protoplanetari, nane brune e intensi movimenti di gas e polveri. La Nebulosa di Orione contiene al suo interno un ammasso aperto molto giovane, noto come Trapezio. Le osservazioni con i più potenti telescopi (specialmente il Telescopio spaziale Hubble) hanno rivelato molte stelle circondate da anelli di polveri, probabilmente il primo stadio della formazione di un sistema planetario. La nebulosa è stata riconosciuta come tale nel 1610 da un avvocato francese, Nicolas-Claude Fabri de Peiresc (1580-1637), anche se, date le dimensioni e la luminosità, era certamente conosciuta anche in epoche preistoriche. Tolomeo la identificava come una stella della spada di Orione, di magnitudine 3. https://it.wikipedia.org/wiki/Nebulosa_di_Orione"
M43,Nebulosa De Mairan NGC 1982,Nebulosa ad emissione ed a riflessione,Orione,"A.R. 05h 35,6min; Dec. −05° 16’",1300 a.l.,9,20' x 15',11 x 8 a.l.,"La Nebulosa De Mairan (nota anche come M 43) è una nebulosa diffusa, ad emissione e a riflessione, situata nella costellazione di Orione. Si tratta di una parte, la più settentrionale, della grande Nebulosa di Orione (M42) dalla quale è separata solo apparentemente da una banda di nebulosità oscure; descritta come oggetto con atmosfera simile a quella del Sole dallo stesso scopritore, de Mairan, fu riosservata dal Messier e da Herschel. M43 avvolge la giovane e irregolare ""nebulosa variable"" NU Orionis, di magnitudine visuale compresa tra 6,5 e 7,6. Pare che M43 sia eccitata da questa stella, e contenga un suo proprio distinto piccolo ammasso stellare che si sarebbe formato in questa porzione della Nebulosa di Orione."
M44,"Ammasso Alveare, Presepe o Mangiatoia NGC 2632",Ammasso aperto,Cancro,"A.R. 08h 40,1min ; Dec. +19° 59'",520 a.l.,"3,1",95',14 a.l.,"L'Ammasso del Presepe (latino præsepe, mangiatoia) – noto anche come Ammasso Alveare o con le sigle di catalogo M 44 o NGC 2632 – è un brillante ammasso aperto visibile nella costellazione del Cancro. È uno dei più vicini al sistema solare e contiene una ricca popolazione di stelle, più ampia di quelle di altri ammassi aperti vicini. In un cielo nitido l'ammasso appare a occhio nudo come un oggetto nebuloso; definito da Tolomeo ""la massa nebulosa nel seno del Cancro"", fu il primo oggetto che Galileo osservò con il suo cannocchiale.Le sue componenti più luminose sono di magnitudine 6 e 7 e sono perfettamente visibili con un binocolo anche dai centri urbani. L'età e il moto proprio sono paragonabili a quelli delle Iadi, suggerendo che entrambi gli ammassi abbiano un'origine comune; sia il Presepe sia le Iadi contengono inoltre delle giganti rosse e delle nane bianche, che rappresentano gli ultimi stadi dell'evoluzione stellare, più un gran numero di stelle di sequenza principale di classe A, F, G, K e M.
Stime sulla sua distanza forniscono cifre che variano fra i 160 e i 187 parsec (550-610 anni luce), mentre sull'età, stimata sui 580 milioni di anni, vi è maggiore accordo. https://it.wikipedia.org/wiki/Presepe_(astronomia)"
M45,Pleiadi o Le Sette Sorelle,Ammasso aperto con nebulosa a riflessione,Toro,"A.R. 03h 47,0min; Dec. +24° 07'",440 a.l.,"1,6",110',13 a.l.,"Le Pleiadi (conosciute anche come le Sette sorelle, la Chioccetta o con la sigla M45 del catalogo di Charles Messier) sono un ammasso aperto visibile nella costellazione del Toro. Questo ammasso, piuttosto vicino (440 anni luce), conta diverse stelle visibili ad occhio nudo; anche se dagli ambienti cittadini solo cinque o sei delle stelle più brillanti sono visibili, da un luogo più buio se ne possono contare fino a dodici. Tutte le sue componenti sono circondate da leggere nebulose a riflessione, osservabili specialmente in fotografie a lunga esposizione prese con telescopi di dimensione ragguardevole.I membri visibili delle Pleiadi sono stelle blu o bianche, molto luminose; l'ammasso conta in realtà centinaia di altre stelle, la gran parte delle quali sono troppo deboli per essere visibili ad occhio nudo. Le Pleiadi sono un ammasso giovane, con un'età stimata di circa 100 milioni di anni, e una vita prevista di soli altri 250 milioni di anni, a causa della sua bassa densità. A causa della loro brillantezza e vicinanza fra loro, le stelle delle Pleiadi sono note dall'antichità: Omero le citava, come pure Tolomeo ed altri autori dell'età classica. Da quando fu noto che le stelle erano corpi celesti simili al Sole, si iniziò ad ipotizzare che fossero in qualche modo legate fra loro; con lo studio del moto proprio degli astri e la determinazione delle distanze, fu chiaro che le Pleiadi fossero realmente legate gravitazionalmente e che avessero un'origine comune. https://it.wikipedia.org/wiki/Pleiadi_(astronomia)"
M46,NGC 2437,Ammasso aperto,Poppa,"A.R. 07h 41,8min; Dec. −14° 49'",5400 a.l.,"6,1",27',30 a.l.,"M 46 (noto anche come Messier 46 o NGC 2437) è un ammasso aperto visibile nella costellazione della Poppa. Può essere osservato anche con un binocolo.M46 si trova ad una distanza di circa 5.400 anni luce dalla Terra, ed ha un'età stimata a 300 milioni di anni. L'ammasso contiene circa 500 stelle, di cui 150 di magnitudine tra 10 e 13; il suo diametro angolare è di circa 27', mentre il suo diametro reale è di 30 anni luce. Studiando il suo spostamento verso il rosso si deduce che l'ammasso recede rispetto a noi alla velocità di 41,4 km/s. Caratteristica interessante di questo ammasso, come detto prima, è la presenza di una nebulosa planetaria, catalogata come NGC 2438, che sembra trovarsi apparentemente al suo interno. In realtà essa è più vicina M46: la sua distanza è stata stimata in 2.900 anni luce e si trova sovrapposta all'ammasso per un semplice effetto di prospettiva"
M47,NGC 2422,Ammasso aperto,Poppa,"A.R. 07h 36,6min; Dec. −14° 30’",1600 a.l.,"4,4",30',14 a.l.,"M 47 (noto anche come Messier 47 o NGC 2422) è un ammasso aperto visibile nella costellazione della Poppa. Può essere osservato anche con un binocolo. M47 si trova ad una distanza di 1.600 anni luce dalla Terra ed ha un'età stimata intorno ai 78 milioni di anni. È quindi un ammasso abbastanza giovane, e la sua popolazione stellare è simile a quella delle Pleiadi. Circa 50 stelle si trovano all'interno di questo ammasso, la più brillante è una gigante di tipo B2 di magnitudine 5,7. Nel gruppo si conoscono due stelle arancioni, di magnitudine 7,83 e 7,93 che, se sono membri effettivi dell'ammasso, devono essere 200 volte più luminose del Sole. La densità media dell'ammasso è di 0,62 stelle per parsec cubo, ma nelle regioni centrali questa sale fino a 16. M47 si allontana da noi alla velocità di circa 9,7 km/s."
M48,NGC 2548,Ammasso aperto,Idra,"A.R. 08h 13,8min; Dec. −05° 48’",1500 a.l.,"5,8",54',23 a.l.,"M 48 (conosciuto anche come Messier 48 o NGC 2548) è un ammasso aperto visibile nella parte più orientale nella vasta costellazione dell'Idra, sul confine convenzionale col l'Unicorno. Di facile osservazione, anche con un semplice binocolo, appare ben visibile con facilità da entrambi gli emisferi.Questo ammasso si trova a circa 1500 anni luce dal sistema solare e dovrebbe contenere all'incirca 80 stelle fino alla magnitudine 13, di cui una cinquantina sono visibili anche con un binocolo o un piccolo telescopio. La regione più densa del nucleo si estende per oltre 30 minuti d'arco, mentre le regioni esterne si estendono fino a 54'. L'ammasso possiede un diametro di circa 23 anni luce. La stella più calda di M48 è di tipo spettrale A2, con magnitudine di 8,8; l'ammasso inoltre contiene tre giganti gialle di tipo spettrale G e K. Ha un'età stimata intorno ai 300 milioni di anni, un valore medio per questo tipo di oggetti; la sua distanza è invece stimata sul 1500 anni luce ed è dunque appartenente al nostro stesso braccio di spirale galattico, il Braccio di Orione."
M49,NGC 4472,Tipo di oggetto: galassia ellittica (tipo E4),Vergine,"A.R. 12h 29,8min ; Dec. +08° 00'",55.000.000 a.l.,"8,6",9',150.000 a.l.,"M 49 (conosciuta anche con il nome di NGC 4472) è una galassia ellittica distante circa 55 milioni di anni luce; fu scoperta da Charles Messier nel 1771 e fa parte dell'Ammasso della Vergine. M49 ha due probabili galassie satelliti, catalogate come NGC 4465 e NGC 4467.M49 è una galassia ellittica, classificata secondo la sequenza di Hubble come E2 o E4; è una delle galassie più luminosa dell'Ammasso della Vergine. a cui appartiene, sebbene si trovi in una posizione leggermente decentrata rispetto al nucleo centrale dell'ammasso. La sua magnitudine assoluta è pari a -22,7 e la sua classe spettrale integrata è di tipo G7, dunque dal marcato colore giallo, più delle altre galassie della zona. Secondo alcune stime, M49 avrebbe un numero di ammassi globulari compreso fra 5000 e 7000, decine di volte superiore a quello della nostra Via Lattea; le sue dimensioni reali sarebbero comprese fra 140000 e 160000 anni luce, che alla distanza di 55 milioni di anni luce equivalgono ad un diametro apparente di 9'. Tutt'attorno sono presenti un gran numero di galassie compagne. Nel 1969 è stata scoperta una supernova, non confermata, catalogata come SN 1969Q; la stella di tredicesima magnitudine visibile sull'alone di M49 talvolta viene scambiata per una supernova, ma in realtà è una stella appartenente alla nostra Galassia"
M50,NGC 2323,Ammasso aperto,Unicorno,"A.R. 07h 03,2min; Dec. −08° 20'",3000 a.l.,"5,9",15' x 20',18 a.l.,"M 50 (conosciuto anche come Messier 50 o NGC 2323) è un ammasso aperto visibile nella costellazione dell'Unicorno. Fa parte del Catalogo di Messier, sebbene non sia comunque l'oggetto più luminoso della costellazione; in un cielo in condizioni perfette è al limite della visibilità ad occhio nudo.M50 si trova ad una distanza di circa 3000 anni luce dal Sole (le stime però non sono ancora precise). Ha un diametro angolare di 15x20, e quindi dovrebbe avere una dimensione lineare di circa 18 anni luce, ma la regione centrale ne misura solo 9. Si stima che M50 possieda all'incirca 200 componenti. La stella più luminosa è di tipo spettrale B8 o B6 a seconda delle fonti. Una bella caratteristica di questo ammasso è che a 7' a sud del centro si trova una gigante rossa di tipo M, che con il suo colore contrasta con le stelle bianche e azzurre nelle vicinanze. L'ammasso contiene anche alcune giganti gialle.Ha un'età stimata in 78 milioni di anni."
M51,Galassia Vortice NGC 5194 - NGC 5195,Galassia a spirale e galassia peculiare,Cani da caccia,"A.R. 13h 29,9min; Dec. +47° 12'",31.000.000 a.l.,9,11' x 8',100.000 a.l.,"M 51 è un oggetto astronomico del catalogo di Messier che comprende due galassie distinte, nella costellazione boreale dei Cani da Caccia: la più grande e famosa Galassia Vortice (anche nota come NGC 5194 e talvolta M51A) è una classica galassia a spirale. Fu scoperta da Charles Messier il 13 ottobre del 1773. La più piccola galassia compagna nota come NGC 5195 (o anche M51B), è parzialmente coperta da un braccio di polvere della spirale Vortice (con la quale interagisce) ed è stata scoperta da Pierre Méchain nel 1781.La Galassia Vortice è una delle più luminose e interessanti galassie nel cielo: dista dalla Terra da 15 a 37 milioni di anni luce ed è ampia da 50.000 a 100.000 anni luce. È anche il membro dominante di un piccolo gruppo di galassie, chiamato gruppo di M51. Buona parte della sua intensa luminosità è dovuta alla presenza, nei bracci, di giovani ammassi stellari. Questa galassia fu la prima di cui si osservò la struttura a spirale, ad opera di William Parsons nel 1845; gli astronomi ipotizzano che la forma a spirale sia dovuta principalmente alle interazioni gravitazionali con la galassia più piccola. La spirale disegnata dai bracci della galassia è una spirale logaritmica.La Galassia Vortice è unita a NGC 5195 attraverso un involucro comune di gas. L'interazione fra le due galassie ha comportato un incremento della creazione di stelle in NGC 5195. Anche il nucleo della Galassia Vortice è più luminoso di quanto ci si potrebbe aspettare, e questo ha portato alcuni studiosi a classificarla come una galassia di Seyfert attiva. https://it.wikipedia.org/wiki/M51_(astronomia)"
